Year,Prop
1015,0.072
1015,0.0721
1015,0.0722
1015,0.0723
1015,0.0724
1015,0.0725
1015,0.0726
1015,0.0727
1015,0.0728
1015,0.0729
1015,0.073
1015,0.0731
1015,0.0732
1015,0.0733
1015,0.0734
1015,0.0735
1015,0.0736
1015,0.0737
1016,0.0738
1016,0.0739
1016,0.074
1016,0.0741
1016,0.0742
1016,0.0743
1016,0.0744
1016,0.0745
1016,0.0746
1016,0.0747
1016,0.0748
1016,0.0749
1016,0.075
1016,0.0751
1016,0.0752
1016,0.0753
1016,0.0754
1016,0.0755
1016,0.0756
1016,0.0757
1016,0.0758
1016,0.0759
1016,0.076
1016,0.0761
1016,0.0762
1016,0.0763
1016,0.0764
1016,0.0765
1016,0.0766
1016,0.0767
1016,0.0768
1016,0.0769
1016,0.077
1017,0.0771
1017,0.0772
1017,0.0773
1017,0.0774
1017,0.0775
1017,0.0776
1017,0.0777
1017,0.0778
1017,0.0779
1017,0.078
1017,0.0781
1017,0.0782
1017,0.0783
1017,0.0784
1017,0.0785
1017,0.0786
1017,0.0787
1017,0.0788
1017,0.0789
1017,0.079
1017,0.0791
1017,0.0792
1017,0.0793
1017,0.0794
1017,0.0795
1018,0.0796
1018,0.0797
1018,0.0798
1018,0.0799
1018,0.08
1018,0.0801
1018,0.0802
1018,0.0803
1018,0.0804
1018,0.0805
1018,0.0806
1018,0.0807
1018,0.0808
1018,0.0809
1018,0.081
1018,0.0811
1018,0.0812
1018,0.0813
1018,0.0814
1018,0.0815
1018,0.0816
1018,0.0817
1018,0.0818
1018,0.0819
1018,0.082
1018,0.0821
1018,0.0822
1018,0.0823
1018,0.0824
1018,0.0825
1018,0.0826
1018,0.0827
1019,0.0828
1019,0.0829
1019,0.083
1019,0.0831
1019,0.0832
1019,0.0833
1019,0.0834
1019,0.0835
1019,0.0836
1019,0.0837
1019,0.0838
1019,0.0839
1019,0.084
1019,0.0841
1019,0.0842
1019,0.0843
1019,0.0844
1019,0.0845
1019,0.0846
1019,0.0847
1019,0.0848
1019,0.0849
1019,0.085
1019,0.0851
1019,0.0852
1019,0.0853
1019,0.0854
1019,0.0855
1019,0.0856
1019,0.0857
1019,0.0858
1019,0.0859
1019,0.086
1019,0.0861
1020,0.0862
1020,0.0863
1020,0.0864
1020,0.0865
1020,0.0866
1020,0.0867
1020,0.0868
1020,0.0869
1020,0.087
1020,0.0871
1020,0.0872
1020,0.0873
1020,0.0874
1020,0.0875
1020,0.0876
1020,0.0877
1020,0.0878
1020,0.0879
1020,0.088
1020,0.0881
1020,0.0882
1020,0.0883
1020,0.0884
1020,0.0885
1020,0.0886
1020,0.0887
1020,0.0888
1020,0.0889
1020,0.089
1020,0.0891
1020,0.0892
1020,0.0893
1021,0.0894
1021,0.0895
1021,0.0896
1021,0.0897
1021,0.0898
1021,0.0899
1021,0.09
1021,0.0901
1021,0.0902
1021,0.0903
1021,0.0904
1021,0.0905
1021,0.0906
1021,0.0907
1021,0.0908
1021,0.0909
1021,0.091
1021,0.0911
1022,0.0912
1022,0.0913
1022,0.0914
1022,0.0915
1022,0.0916
1022,0.0917
1022,0.0918
1022,0.0919
1022,0.092
1022,0.0921
1022,0.0922
1022,0.0923
1022,0.0924
1022,0.0925
1022,0.0926
1022,0.0927
1022,0.0928
1022,0.0929
1022,0.093
1022,0.0931
1022,0.0932
1022,0.0933
1022,0.0934
1022,0.0935
1022,0.0936
1022,0.0937
1022,0.0938
1022,0.0939
1023,0.094
1023,0.0941
1023,0.0942
1023,0.0943
1023,0.0944
1023,0.0945
1023,0.0946
1023,0.0947
1023,0.0948
1023,0.0949
1023,0.095
1023,0.0951
1023,0.0952
1023,0.0953
1023,0.0954
1023,0.0955
1023,0.0956
1023,0.0957
1023,0.0958
1023,0.0959
1023,0.096
1023,0.0961
1023,0.0962
1023,0.0963
1023,0.0964
1023,0.0965
1023,0.0966
1023,0.0967
1023,0.0968
1023,0.0969
1023,0.097
1023,0.0971
1023,0.0972
1023,0.0973
1023,0.0974
1023,0.0975
1023,0.0976
1023,0.0977
1023,0.0978
1023,0.0979
1023,0.098
1023,0.0981
1024,0.0982
1024,0.0983
1024,0.0984
1024,0.0985
1024,0.0986
1024,0.0987
1024,0.0988
1024,0.0989
1024,0.099
1024,0.0991
1024,0.0992
1024,0.0993
1024,0.0994
1024,0.0995
1024,0.0996
1024,0.0997
1024,0.0998
1024,0.0999
1024,0.1
1024,0.1001
1024,0.1002
1024,0.1003
1024,0.1004
1024,0.1005
1024,0.1006
1024,0.1007
1024,0.1008
1024,0.1009
1024,0.101
1025,0.1011
1025,0.1012
1025,0.1013
1025,0.1014
1025,0.1015
1025,0.1016
1025,0.1017
1025,0.1018
1025,0.1019
1025,0.102
1025,0.1021
1025,0.1022
1025,0.1023
1025,0.1024
1025,0.1025
1025,0.1026
1025,0.1027
1025,0.1028
1025,0.1029
1025,0.103
1025,0.1031
1025,0.1032
1025,0.1033
1025,0.1034
1025,0.1035
1025,0.1036
1025,0.1037
1025,0.1038
1025,0.1039
1025,0.104
1025,0.1041
1025,0.1042
1025,0.1043
1025,0.1044
1025,0.1045
1025,0.1046
1025,0.1047
1025,0.1048
1025,0.1049
1026,0.105
1026,0.1051
1026,0.1052
1026,0.1053
1026,0.1054
1026,0.1055
1026,0.1056
1026,0.1057
1026,0.1058
1026,0.1059
1026,0.106
1026,0.1061
1026,0.1062
1026,0.1063
1026,0.1064
1026,0.1065
1026,0.1066
1026,0.1067
1026,0.1068
1026,0.1069
1026,0.107
1026,0.1071
1026,0.1072
1026,0.1073
1026,0.1074
1026,0.1075
1026,0.1076
1026,0.1077
1026,0.1078
1026,0.1079
1026,0.108
1026,0.1081
1026,0.1082
1026,0.1083
1026,0.1084
1026,0.1085
1026,0.1086
1027,0.1087
1027,0.1088
1027,0.1089
1027,0.109
1027,0.1091
1027,0.1092
1027,0.1093
1027,0.1094
1027,0.1095
1027,0.1096
1027,0.1097
1027,0.1098
1027,0.1099
1027,0.11
1027,0.1101
1027,0.1102
1027,0.1103
1027,0.1104
1027,0.1105
1027,0.1106
1027,0.1107
1027,0.1108
1027,0.1109
1027,0.111
1027,0.1111
1027,0.1112
1027,0.1113
1027,0.1114
1027,0.1115
1027,0.1116
1027,0.1117
1027,0.1118
1027,0.1119
1027,0.112
1027,0.1121
1027,0.1122
1027,0.1123
1028,0.1124
1028,0.1125
1028,0.1126
1028,0.1127
1028,0.1128
1028,0.1129
1028,0.113
1028,0.1131
1028,0.1132
1028,0.1133
1028,0.1134
1028,0.1135
1028,0.1136
1028,0.1137
1028,0.1138
1028,0.1139
1028,0.114
1028,0.1141
1028,0.1142
1028,0.1143
1028,0.1144
1028,0.1145
1028,0.1146
1028,0.1147
1028,0.1148
1028,0.1149
1028,0.115
1028,0.1151
1028,0.1152
1028,0.1153
1028,0.1154
1028,0.1155
1028,0.1156
1028,0.1157
1029,0.1158
1029,0.1159
1029,0.116
1029,0.1161
1029,0.1162
1029,0.1163
1029,0.1164
1029,0.1165
1029,0.1166
1029,0.1167
1029,0.1168
1029,0.1169
1029,0.117
1029,0.1171
1029,0.1172
1029,0.1173
1029,0.1174
1029,0.1175
1029,0.1176
1029,0.1177
1029,0.1178
1029,0.1179
1029,0.118
1029,0.1181
1029,0.1182
1029,0.1183
1029,0.1184
1029,0.1185
1029,0.1186
1029,0.1187
1029,0.1188
1029,0.1189
1029,0.119
1030,0.1191
1030,0.1192
1030,0.1193
1030,0.1194
1030,0.1195
1030,0.1196
1030,0.1197
1030,0.1198
1030,0.1199
1030,0.12
1030,0.1201
1030,0.1202
1030,0.1203
1030,0.1204
1030,0.1205
1030,0.1206
1030,0.1207
1030,0.1208
1030,0.1209
1030,0.121
1030,0.1211
1030,0.1212
1030,0.1213
1030,0.1214
1030,0.1215
1030,0.1216
1030,0.1217
1030,0.1218
1030,0.1219
1030,0.122
1030,0.1221
1030,0.1222
1030,0.1223
1030,0.1224
1030,0.1225
1030,0.1226
1030,0.1227
1030,0.1228
1030,0.1229
1030,0.123
1030,0.1231
1030,0.1232
1031,0.1233
1031,0.1234
1031,0.1235
1031,0.1236
1031,0.1237
1031,0.1238
1031,0.1239
1031,0.124
1031,0.1241
1031,0.1242
1031,0.1243
1031,0.1244
1031,0.1245
1031,0.1246
1031,0.1247
1031,0.1248
1031,0.1249
1031,0.125
1031,0.1251
1031,0.1252
1031,0.1253
1031,0.1254
1031,0.1255
1031,0.1256
1031,0.1257
1031,0.1258
1031,0.1259
1031,0.126
1031,0.1261
1031,0.1262
1031,0.1263
1031,0.1264
1031,0.1265
1032,0.1266
1032,0.1267
1032,0.1268
1032,0.1269
1032,0.127
1032,0.1271
1032,0.1272
1032,0.1273
1032,0.1274
1032,0.1275
1032,0.1276
1032,0.1277
1032,0.1278
1032,0.1279
1032,0.128
1032,0.1281
1032,0.1282
1032,0.1283
1032,0.1284
1032,0.1285
1032,0.1286
1032,0.1287
1032,0.1288
1032,0.1289
1032,0.129
1032,0.1291
1032,0.1292
1032,0.1293
1032,0.1294
1032,0.1295
1032,0.1296
1032,0.1297
1032,0.1298
1033,0.1299
1033,0.13
1033,0.1301
1033,0.1302
1033,0.1303
1033,0.1304
1033,0.1305
1033,0.1306
1033,0.1307
1033,0.1308
1033,0.1309
1033,0.131
1033,0.1311
1033,0.1312
1033,0.1313
1033,0.1314
1033,0.1315
1033,0.1316
1033,0.1317
1033,0.1318
1033,0.1319
1033,0.132
1033,0.1321
1033,0.1322
1033,0.1323
1033,0.1324
1033,0.1325
1033,0.1326
1033,0.1327
1033,0.1328
1033,0.1329
1033,0.133
1033,0.1331
1033,0.1332
1033,0.1333
1034,0.1334
1034,0.1335
1034,0.1336
1034,0.1337
1034,0.1338
1034,0.1339
1034,0.134
1034,0.1341
1034,0.1342
1034,0.1343
1034,0.1344
1034,0.1345
1034,0.1346
1034,0.1347
1034,0.1348
1034,0.1349
1034,0.135
1034,0.1351
1034,0.1352
1034,0.1353
1034,0.1354
1034,0.1355
1034,0.1356
1034,0.1357
1034,0.1358
1034,0.1359
1034,0.136
1034,0.1361
1034,0.1362
1034,0.1363
1034,0.1364
1035,0.1365
1035,0.1366
1035,0.1367
1035,0.1368
1035,0.1369
1035,0.137
1035,0.1371
1035,0.1372
1035,0.1373
1035,0.1374
1035,0.1375
1035,0.1376
1035,0.1377
1035,0.1378
1035,0.1379
1035,0.138
1035,0.1381
1035,0.1382
1035,0.1383
1035,0.1384
1035,0.1385
1035,0.1386
1035,0.1387
1035,0.1388
1035,0.1389
1035,0.139
1035,0.1391
1035,0.1392
1035,0.1393
1035,0.1394
1035,0.1395
1035,0.1396
1035,0.1397
1035,0.1398
1035,0.1399
1035,0.14
1035,0.1401
1035,0.1402
1035,0.1403
1035,0.1404
1035,0.1405
1035,0.1406
1035,0.1407
1036,0.1408
1036,0.1409
1036,0.141
